exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p	lo_ci	up_ci	or	or_lci95	or_uci95
exposure	outcome	I6Thxz	h1QrQG	NA	rs1039755	0.128792122186495	0.190893890675241	0.499879653071095	-0.245359903536977	0.502944147909968	1.13745364821018	0.782422890796143	1.65358250256476
exposure	outcome	I6Thxz	h1QrQG	NA	rs10790143	-0.271469733656174	0.139842615012107	0.0522277380102916	-0.545561259079903	0.0026217917675545	0.762258353892331	0.579516433185445	1.00262523166917
exposure	outcome	I6Thxz	h1QrQG	NA	rs10891644	0.354046875	0.22193359375	0.110648979741396	-0.08094296875	0.78903671875	1.42482197344456	0.922246286803349	2.20127495774167
exposure	outcome	I6Thxz	h1QrQG	NA	rs10891786	-0.585549886621315	0.269814058956916	0.0299918620258989	-1.11438544217687	-0.0567143310657596	0.556799600964196	0.328116863735984	0.944863949093901
exposure	outcome	I6Thxz	h1QrQG	NA	rs10892116	0.0726549118387909	0.104317020510975	0.486127117457279	-0.13180644836272	0.277116272040302	1.07535937908653	0.876510628729692	1.31931976211779
exposure	outcome	I6Thxz	h1QrQG	NA	rs10892164	-0.378420944558522	0.236733059548255	0.109928787562194	-0.842417741273101	0.0855758521560575	0.684942117316241	0.43066801983836	1.08934418731564
exposure	outcome	I6Thxz	h1QrQG	NA	rs10892277	0.109819667943806	0.154005108556833	0.47578940380621	-0.192030344827586	0.411669680715198	1.11607678788854	0.825281825077023	1.50933579125814
exposure	outcome	I6Thxz	h1QrQG	NA	rs10892485	0.243147619047619	0.181027380952381	0.179222169982586	-0.111666047619048	0.597961285714286	1.27525686242784	0.894342875568158	1.81840780487702
exposure	outcome	I6Thxz	h1QrQG	NA	rs111461621	0.109969329529244	0.330810984308131	0.73956953195235	-0.538420199714693	0.758358858773181	1.11624383420998	0.583669605814943	2.13476988521971
exposure	outcome	I6Thxz	h1QrQG	NA	rs111475094	0.334534725010036	0.25694259333601	0.192922414577103	-0.169072757928543	0.838142207948615	1.39729010981394	0.844447460902829	2.3120676434937
exposure	outcome	I6Thxz	h1QrQG	NA	rs111549226	-0.340975445544554	0.185271287128713	0.0657078162159142	-0.704107168316832	0.0221562772277228	0.711076368085048	0.49454992704372	1.02240355037869
